Athlete,2k Erg
Banks,5:50.0
Bertoldo,5:55.0
Blomquist,5:53.0
Cole,5:54.0
Coppola,5:49.0
Cornelius,5:52.0
Gallagher,5:56.0
Gennaro,5:58.0
Guregian,5:52.0
Holbrook,5:52.0
Inman,5:50.0
"James,G.",5:50.0
"James,R.",5:50.0
Johnson,5:50.0
Kasprzyk,5:50.0
Koven,5:50.0
Lanzone,5:50.0
Marcy,5:50.0
McEachern,5:50.0
Melander,5:50.0
Miller,5:50.0
Monaghan,5:50.0
Morgan,5:50.0
Newlin,5:50.0
Ochal,5:50.0
Otto,5:50.0
Peszek,6:02.0
Quie,5:50.0
Rummel,5:50.0
Shald,5:50.0
Spencer,6:05.0
Stafford,5:50.0
Stangel,6:05.0
Struzyna,5:50.0
Walsh,5:50.0
