Date,Class,Boat_Size,Piece,Margin_s,Winners,Losers
2018-11-11,Four,4,2018-11-11:1,3,"Aghai, Richards, Stoep, Weiss","Furey, Graves, Moffitt, Wallis"
2018-11-11,Four,4,2018-11-11:2,3,"Aghai, Richards, Stoep, Weiss","Furey, Graves, Moffitt, Wallis"
2018-11-11,Four,4,2018-11-11:3,4,"Aghai, Richards, Stoep, Weiss","Furey, Graves, Moffitt, Wallis"
2018-11-28,Pair,2,2018-11-28:1,3,"DiSanto, Peszek","Landboe, Reed"
2018-11-28,Pair,2,2018-11-28:1,1,"DiSanto, Peszek","Eble, Karwoski"
2018-11-28,Pair,2,2018-11-28:1,14,"DiSanto, Peszek","Harrity, Mead"
2018-11-28,Pair,2,2018-11-28:1,2,"Eble, Karwoski","Landboe, Reed"
2018-11-28,Pair,2,2018-11-28:1,11,"Landboe, Reed","Harrity, Mead"
2018-11-28,Pair,2,2018-11-28:1,13,"Eble, Karwoski","Harrity, Mead"
2018-11-28,Pair,2,2018-11-28:2,1,"Landboe, Reed","DiSanto, Peszek"
2018-11-28,Pair,2,2018-11-28:2,3,"DiSanto, Peszek","Eble, Karwoski"
2018-11-28,Pair,2,2018-11-28:2,1,"DiSanto, Peszek","Harrity, Mead"
2018-11-28,Pair,2,2018-11-28:2,4,"Landboe, Reed","Eble, Karwoski"
2018-11-28,Pair,2,2018-11-28:2,2,"Landboe, Reed","Harrity, Mead"
2018-11-28,Pair,2,2018-11-28:2,2,"Harrity, Mead","Eble, Karwoski"
2018-11-28,Pair,2,2018-11-28:3,10,"DiSanto, Peszek","Eble, Karwoski"
2018-11-28,Pair,2,2018-11-28:3,2,"DiSanto, Peszek","Harrity, Mead"
2018-11-28,Pair,2,2018-11-28:3,10,"Landboe, Reed","Eble, Karwoski"
2018-11-28,Pair,2,2018-11-28:3,2,"Landboe, Reed","Harrity, Mead"
2018-11-28,Pair,2,2018-11-28:3,8,"Harrity, Mead","Eble, Karwoski"
2018-11-30,Pair,2,2018-11-30:1,3,"Mead, Reed","DiSanto, Karwoski"
2018-11-30,Pair,2,2018-11-30:1,13,"Mead, Reed","Harrity, Landboe"
2018-11-30,Pair,2,2018-11-30:1,23,"Mead, Reed","Eble, Peszek"
2018-11-30,Pair,2,2018-11-30:1,10,"DiSanto, Karwoski","Harrity, Landboe"
2018-11-30,Pair,2,2018-11-30:1,20,"DiSanto, Karwoski","Eble, Peszek"
